Average Delta Code Per Readout,Baseline Accuracy,Optical Accuracy,Difference Distribution Std Dev,Difference Distribution Mean,Timecode
135.4371929,0.988,0.74,3.476477072,3.183500523,2021-12-06_232857
182.0272286,0.988,0.83,3.310611625,7.449264925,2021-12-07_000215
331.9195357,0.988,0.16,5.011770168,3.6650499,2021-12-07_004546
79.34292143,0.988,0.5,3.280399941,6.300264152,2021-12-07_015141
1949.233114,0.988,0.98,14.12063531,31.7465575,2021-12-07_024020
1359.075057,0.988,0.96,3.898278009,16.50754766,2021-12-07_031824
83.27261429,0.988,0.67,3.159276424,3.735005213,2021-12-07_035121
84.04591429,0.988,0.37,3.69394262,7.55858779,2021-12-07_044542
705.0031143,0.988,0.96,4.082279262,17.28642977,2021-12-07_064614
1545.7113,0.988,0.99,3.291657522,10.1871874,2021-12-07_071930
506.7998643,0.988,0.93,3.043439544,4.024386464,2021-12-07_075229
192.6577429,0.988,0.33,5.145323618,18.23378038,2021-12-07_085138
197.3197429,0.988,0.75,3.599210173,9.674210153,2021-12-07_092520
65.37252857,0.988,0.12,3.420236194,4.999378437,2021-12-07_095812
2597.622429,0.988,0.99,3.378896973,5.570792286,2021-12-07_104645
1111.120421,0.988,0.97,3.457113444,11.18289883,2021-12-07_112036
1199.885357,0.988,0.98,3.223727045,4.933006071,2021-12-07_115355
635.4110786,0.988,0.68,5.996749994,13.71768992,2021-12-07_130523
650.4602786,0.988,0.81,3.740962596,11.98389651,2021-12-07_133841
387.8910714,0.988,0.71,3.380121302,7.757823202,2021-12-07_141141
89.00779286,0.988,0.57,3.258806265,5.129779355,2021-12-07_151739
250.1130071,0.988,0.26,4.23737799,-1.746109621,2021-12-07_155048
37.78824286,0.988,0.27,3.952442396,9.541729294,2021-12-07_163936
1861.495064,0.988,0.97,3.222142692,4.77783595,2021-12-07_171311
729.6804714,0.988,0.27,3.814986907,-3.231849521,2021-12-07_181935
1174.710636,0.988,0.98,3.138940904,5.150053018,2021-12-07_185234
418.9122786,0.988,0.97,5.226211682,-10.79859165,2021-12-07_192535
454.6742857,0.988,0.88,3.204677181,3.901603767,2021-12-07_195835
220.19735,0.988,0.16,5.123794011,6.144997144,2021-12-07_210440
533.8583071,0.988,0.88,3.584741341,10.71037908,2021-12-07_213745
1806.926971,0.988,1,3.451153253,9.775456048,2021-12-07_231015
1317.14625,0.988,0.97,3.33812219,8.299084484,2021-12-07_234326
202.2152929,0.988,0.5,3.066493393,3.689620516,2021-12-08_001634
689.5650429,0.988,0.8,4.156749518,3.620840494,2021-12-08_004939
589.7457143,0.988,1,3.34647392,8.36172117,2021-12-08_012324
490.7414214,0.988,0.36,6.350167442,26.13728202,2021-12-08_024018
262.55045,0.988,0.77,4.123554121,14.96388743,2021-12-08_031321
57.65653571,0.988,0.29,3.121976261,2.675274188,2021-12-08_034616
625.3536,0.988,0.54,2.976978857,-0.689619086,2021-12-08_043953
2052.527779,0.988,0.99,3.466780614,11.63223738,2021-12-08_051243
985.8493929,0.988,0.97,3.086397221,5.4649392,2021-12-08_054550
1088.648879,0.988,0.38,6.361407287,-13.70674692,2021-12-08_061845
918.9401643,0.988,0.94,4.026350464,9.141527712,2021-12-08_065201
368.2241786,0.988,0.92,3.181392118,7.738075066,2021-12-08_072511
107.5450643,0.988,0.14,3.115839787,2.971771651,2021-12-08_075829
133.5532929,0.988,0.16,4.801630691,13.12548761,2021-12-08_083645
138.3508429,0.988,0.63,3.3671873,8.326902563,2021-12-08_091027
4.956392857,0.988,0.12,3.22419519,4.630348664,2021-12-08_094341
1006.342557,0.988,0.84,3.791787118,7.169718208,2021-12-08_103714
1032.681086,0.988,0.98,3.531484181,10.49294321,2021-12-08_111538
53.35722143,0.988,0.29,3.004595559,3.140569326,2021-12-08_114827
716.00885,0.988,0.8,4.812198641,15.40291157,2021-12-08_122641
585.2916786,0.988,0.86,3.0936857,3.508563235,2021-12-08_125942
225.1112143,0.988,0.74,3.261243853,5.332423072,2021-12-08_133817
71.35173571,0.988,0.91,4.62683152,11.59012628,2021-12-20_110637
255.3789,0.988,0.61,5.883223362,15.51153292,2021-12-20_114433
83.47483571,0.988,0.78,3.304608876,-1.533463856,2021-12-20_121749
387.5207643,0.988,0,3.98430277,1.734672392,2021-12-20_134926
147.4609286,0.988,0.94,3.293221373,-1.262365511,2021-12-20_150408
469.4647,0.988,0.91,5.328052025,10.9444184,2021-12-20_162705
173.5501643,0.988,0.51,3.150863379,-0.219966505,2021-12-20_165956
104.6610857,0.988,0.24,5.057042676,8.506134877,2021-12-20_182112
193.8623214,0.988,0.21,3.930483225,2.932331397,2021-12-20_185409
588.4767714,0.988,0.98,3.475617026,3.287785867,2021-12-20_203046
174.0597286,0.988,0.94,3.178925528,-2.527960907,2021-12-20_210342
132.9551929,0.988,0.69,4.046831165,8.190555423,2021-12-20_220945
384.3181,0.988,0.92,3.431025189,0.464689016,2021-12-20_224312
419.7361143,0.988,0.77,3.845405333,3.938982606,2021-12-20_235434
272.6862929,0.988,0.7,3.365422177,-2.478572224,2021-12-21_002737
206.3534071,0.988,0.98,3.869180224,7.55800429,2021-12-21_022551
600.3133071,0.988,0.96,3.819208921,5.236061691,2021-12-21_033208
219.4205571,0.988,0.94,3.241439277,-8.112574818,2021-12-21_040520
109.3468714,0.988,0.4,3.878512133,0.888481849,2021-12-21_052713
226.9671,0.988,0.57,3.267618876,-2.30590307,2021-12-21_060028
316.0525429,0.988,0.86,3.662404696,5.51571664,2021-12-21_075904
337.6144429,0.988,0.65,3.780863209,5.729209073,2021-12-21_094211
93.26297143,0.988,0.42,3.444811138,1.150994625,2021-12-21_101528
21.7269,0.988,0.48,3.438301806,1.283853627,2021-12-21_104835
2293.545121,0.988,0.95,5.659794232,24.81261789,2021-12-21_123154
38.27322857,0.988,0.96,3.132633665,-0.867114964,2021-12-21_130505
224.5088357,0.988,0.98,3.218887813,0.661840332,2021-12-21_133806
99.94212857,0.988,0.98,3.347236219,2.054987569,2021-12-21_141113
51.44774286,0.988,0.86,3.311131092,0.321352859,2021-12-21_144430
62.55877143,0.988,0.78,3.256062578,1.245515933,2021-12-21_151758
18.07120714,0.988,0.8,3.308255078,-0.088355277,2021-12-21_155116
59.18123571,0.988,0.58,3.362681657,1.931161903,2021-12-21_162309
51.63694286,0.988,0.44,3.253966979,-0.303200449,2021-12-21_165641
343.6753429,0.988,0.98,3.299129947,1.302538296,2021-12-21_185007
418.1091571,0.988,0.97,3.321760509,0.251925505,2021-12-21_192334
251.7058714,0.988,0.98,3.287459036,1.245763458,2021-12-21_195740
128.9123071,0.988,0.92,3.246260482,0.280699792,2021-12-21_203043
152.9206571,0.988,0.9,3.230724725,0.787319191,2021-12-21_210405
56.27323571,0.988,0.83,3.343119782,1.601901216,2021-12-21_213705
31.47707857,0.988,0.5,3.328761847,0.879671661,2021-12-21_221014
84.85657143,0.988,0.7,3.35821028,0.520756553,2021-12-21_224318
45.78025714,0.988,0.54,3.269391195,0.857904916,2021-12-21_231615
56.93427857,0.988,0.45,3.301547365,1.727131411,2021-12-21_234926
40.85710714,0.988,0.45,3.419414716,1.323738492,2021-12-22_002240
549.7396357,0.988,0.98,6.380915262,-6.370162826,2021-12-22_021020
146.0077214,0.988,0.98,3.120105851,0.397605764,2021-12-22_024337
83.03030714,0.988,0.96,3.085962079,-0.360846672,2021-12-22_031647
70.52984286,0.988,0.93,3.265233176,0.71532934,2021-12-22_034958
157.5459571,0.988,0.87,3.337189046,0.204591473,2021-12-22_042313
48.49848571,0.988,0.79,3.321962687,0.988387421,2021-12-22_045625
71.70082857,0.988,0.65,3.373807971,0.297410389,2021-12-22_052936
89.71889286,0.988,0.73,3.315432909,1.836783926,2021-12-22_060329
93.74044286,0.988,0.67,3.294778769,2.107522439,2021-12-22_063652
58.15222857,0.988,0.35,3.465560244,0.175354595,2021-12-22_071000
25.36765714,0.988,0.43,3.656053607,2.775946453,2021-12-22_074310
108.0728214,0.988,0.99,3.182512417,0.578380865,2021-12-22_090245
134.3367571,0.988,0.92,3.202142626,0.318607968,2021-12-22_093614
93.11539286,0.988,0.9,3.224474352,1.959375328,2021-12-22_100924
78.6385,0.988,0.82,3.183979103,0.746916162,2021-12-22_104252
58.86700714,0.988,0.74,3.365549248,0.370180211,2021-12-22_111553
97.03210714,0.988,0.85,3.206696431,1.232930138,2021-12-22_114907
17.41096429,0.988,0.64,3.482067995,0.309508639,2021-12-22_122254
16.27781429,0.988,0.59,3.325148007,0.574029194,2021-12-22_125557
68.85747857,0.988,0.59,3.45003598,1.149635549,2021-12-22_132903
46.15787143,0.988,0.36,3.401960047,0.661861905,2021-12-22_140225
74.57271429,0.988,0.41,3.451032253,2.725650895,2021-12-22_143537
38.07417857,0.988,0.34,3.585105644,1.172181575,2021-12-22_151358
1194.27325,0.988,0.96,6.066181361,13.71526842,2021-12-22_165540
118.4727714,0.988,0.88,3.254270689,-1.036613424,2021-12-22_172951
331.6923071,0.988,0.29,3.749898612,4.959585957,2021-12-22_190201
420.1577214,0.988,0.97,3.333496842,-1.444802737,2021-12-22_205447
2940.86345,0.988,0.12,7.159389544,36.41238131,2021-12-22_220050
159.3530214,0.988,0.9,3.319273649,3.277947859,2021-12-22_223358
383.7279214,0.988,0.5,4.090230465,12.29548538,2021-12-22_234616
351.6679357,0.988,0.24,4.327814772,4.794146924,2021-12-23_013426
564.9222,0.988,0.98,3.970917544,6.052824602,2021-12-23_025613
199.0798714,0.988,0.94,3.246542672,-2.784533594,2021-12-23_032918
332.1193786,0.988,0.87,3.885395448,6.416685948,2021-12-23_043538
228.9342,0.988,0.87,2.857972154,-8.928628461,2021-12-23_050852
309.0722714,0.988,0.47,3.720005877,8.634729786,2021-12-23_065319
402.5010286,0.988,0.96,3.159735612,0.886947706,2021-12-23_084631
600.73045,0.988,0.97,4.364782573,8.506630396,2021-12-23_095314
249.4593714,0.988,0.96,3.32565345,-0.479113423,2021-12-23_102637
399.1776286,0.988,0.31,4.314503424,11.18635209,2021-12-23_113807
422.6617857,0.988,0.43,4.059605555,8.519857698,2021-12-23_125516
357.3814429,0.988,1,3.682416637,10.59151021,2021-12-23_152139
278.2560929,0.988,0.79,3.247306645,-0.916192044,2021-12-23_155508
392.2173571,0.988,0.45,3.141542256,-1.54643426,2021-12-23_173441
334.3043214,0.988,0.82,5.017950894,20.50090778,2021-12-23_182845
246.297,0.988,0.19,3.509289952,-0.559911891,2021-12-23_190200
145.7955071,0.988,0.97,3.306937884,2.39203487,2021-12-23_201132
339.4513786,0.988,0.89,3.142516918,0.407830029,2021-12-23_204515
46.02545,0.988,0.97,3.227195942,0.37620429,2021-12-23_215126
257.5742071,0.988,0.34,3.581014732,4.6761669,2021-12-23_222437
458.4399786,0.988,0.46,3.039747441,-18.94285295,2021-12-24_000435
324.0837714,0.988,0.3,3.56355636,-0.049887208,2021-12-24_013115
122.3727643,0.988,0.21,5.543500799,31.55383356,2021-12-24_022958
127.0521714,0.988,0.86,3.242034838,0.40101043,2021-12-24_030302
108.20495,0.988,0.53,3.23988046,-0.474360668,2021-12-24_044212
109.1412786,0.988,0.36,3.177055358,-0.1027598,2021-12-24_062200
0.576535714,0.988,0.85,4.2206048,11.16925424,2021-12-24_072824
4.467078571,0.988,0.15,3.501560861,-0.610334442,2021-12-24_080159
61.95991429,0.988,0.13,7.886716425,42.72076613,2021-12-24_083458
461.523,0.988,1,4.465323893,11.48620531,2021-12-24_105601
108.7171071,0.988,0.8,3.164153183,-0.669805678,2021-12-24_112916
80.58195714,0.988,0.95,4.337393394,10.83231977,2021-12-24_123540
192.2173071,0.988,0.49,3.288613366,-0.174269998,2021-12-24_130822
262.8941571,0.988,0.35,3.225201751,0.824581298,2021-12-24_145259
222.4984571,0.988,0.24,3.451594097,-0.754055269,2021-12-24_163302
142.9,0.988,0.96,3.775577573,7.774949781,2021-12-24_174244
293.2840357,0.988,0.94,3.293994317,0.629098971,2021-12-24_181558
1.4054,0.988,0.98,3.533913575,4.263238132,2021-12-24_192716
366.5341571,0.988,0.76,3.293155498,0.133527748,2021-12-24_200018
3.506007143,0.988,0.77,3.852455647,3.356463698,2021-12-24_210714
283.8479429,0.988,0.34,3.334174617,0.721048322,2021-12-24_214021
29.10072143,0.988,0.62,3.895871374,5.412063025,2021-12-24_225140
334.6248571,0.988,0.28,3.41867882,-0.505397886,2021-12-24_232435
426.5159857,0.988,0.96,3.236488533,0.535828769,2021-12-25_010141
284.7940357,0.988,0.96,6.6286138,27.48888573,2021-12-25_020756
47.7194,0.988,0.46,3.261921181,1.66797214,2021-12-25_024050
91.39577857,0.988,0.32,3.589462608,2.853662279,2021-12-25_031402
304.0020286,0.988,0.49,3.184965271,0.780358485,2021-12-25_043539
365.2541786,0.988,0.97,4.598412108,10.77999432,2021-12-25_073525
156.2256286,0.988,0.86,3.279299658,0.999641931,2021-12-25_080829
23.58367857,0.988,0.36,3.124636897,0.398419508,2021-12-25_084131
114.81675,0.988,0.81,4.340214887,11.73539707,2021-12-25_092514
282.8658286,0.988,0.49,3.454548576,0.525347311,2021-12-25_095817
265.2689071,0.988,0.16,3.984440823,-18.70417655,2021-12-25_114619
430.6844071,0.988,0.97,5.041835121,13.25404752,2021-12-25_125742
180.5764357,0.988,0.26,4.128478677,9.834267979,2021-12-25_134158
63.00432857,0.988,0.83,4.034959997,9.650923454,2021-12-25_144812
211.5081214,0.988,0.18,4.301843085,11.02266437,2021-12-25_152644
180.0222143,0.988,0.13,4.579777771,13.84934707,2021-12-25_171722
77.87351429,0.988,0.45,3.425103995,4.155839933,2021-12-25_190446
179.7060643,0.988,0.25,3.766108493,5.424235583,2021-12-25_204939
222.1750929,0.988,0.18,4.582196549,13.15137148,2021-12-25_223410
19.21175714,0.988,0.84,3.278921733,1.125017024,2021-12-25_234917
126.7867929,0.988,0.65,3.343957783,2.592000496,2021-12-26_002228
196.4736429,0.988,0.17,3.997978375,3.711307095,2021-12-26_020225
167.3675286,0.988,0.19,3.824598075,6.613147846,2021-12-26_034730
110.4796643,0.988,0.25,4.000816987,3.57200039,2021-12-26_054247
103.4626857,0.988,0.54,3.550731814,6.610760994,2021-12-26_072014
218.2109071,0.988,0.42,3.817943685,7.389955016,2021-12-26_090547
105.9016,0.988,0.96,3.959775308,6.89843872,2021-12-26_114735
431.7390786,0.988,0.91,2.611703945,-18.32374516,2021-12-26_122040
220.0124,0.988,0.34,4.080281,7.466321579,2021-12-26_142053
143.8038571,0.988,0.29,4.255028737,10.56960042,2021-12-26_160510
298.8240929,0.988,0.79,8.114252387,16.53465664,2021-12-26_174234
204.6049286,0.988,0.5,4.197105471,5.04336875,2021-12-26_192720
581.6481143,0.988,0.98,6.364386992,32.18556353,2021-12-26_215122
346.1808357,0.988,0.93,3.358714088,2.362381647,2021-12-26_222440
171.8091714,0.988,0.91,5.236597032,23.02745483,2021-12-26_233120
220.9031929,0.988,0.72,3.247375742,0.865667569,2021-12-27_000414
46.86880714,0.988,0.18,4.157991405,7.014062859,2021-12-27_020958
280.0644857,0.988,0.63,5.609528607,20.37622839,2021-12-27_034231
445.1422429,0.988,0.72,7.847920638,33.24623786,2021-12-27_052221
377.7133357,0.988,0.93,5.804409783,26.67502719,2021-12-27_061059
248.8471786,0.988,0.53,3.341186835,1.536074404,2021-12-27_064409
465.5066357,0.988,0.65,5.799633675,31.74830635,2021-12-27_075046
168.5072286,0.988,0.09,3.412345202,-1.896324577,2021-12-27_082403
248.0671214,0.988,0.94,5.422109862,22.69957908,2021-12-27_111335
161.4845643,0.988,0.62,3.16120905,-0.324324473,2021-12-27_114654
752.8876571,0.988,0.96,6.934584367,30.4184392,2021-12-27_125319
180.2467643,0.988,0.56,3.393831369,0.404222978,2021-12-27_132628
120.8912071,0.988,0.3,4.382838367,13.90863201,2021-12-27_153145
